"name_es","latitude","longitude"
"Ceuta","35,8803","-5,341"
"Melilla","35,2934","-2,94015"
"Navarra","42,7493","-1,63845"
"Guipúzcoa","43,1495","-2,2243"
"Huesca","42,1863","-0,0128081"
"Lérida","42,0143","1,11518"
"Gerona","42,0844","2,79123"
"Badajoz","38,5731","-6,26724"
"Cádiz","36,4828","-5,82488"
"Orense","42,1609","-7,59234"
"Cáceres","39,7279","-6,08204"
"Salamanca","40,8324","-5,9926"
"Zamora","41,6837","-5,84292"
"Pontevedra","42,5257","-8,4998"
"Huelva","37,6217","-6,90248"
"Barcelona","41,6575","2,00777"
"Tarragona","41,1476","0,873012"
"Castellón","40,222","-0,0975114"
"Valencia","39,3003","-0,712245"
"Alicante","38,5418","-0,533879"
"Murcia","37,9136","-1,45758"
"Almería","37,1563","-2,22473"
"Granada","37,2665","-3,2411"
"Málaga","36,838","-4,68606"
"Sevilla","37,438","-5,73917"
"La Coruña","43,1026","-8,39736"
"Lugo","42,9467","-7,44266"
"Asturias","43,3261","-5,84196"
"Cantabria","43,2182","-4,02085"
"Vizcaya","43,2392","-2,7953"
"Santa Cruz de Tenerife","28,2566","-16,6144"
"Las Palmas","27,9463","-15,6013"
"Islas Baleares","39,6162","2,99156"
"Zaragoza","41,5814","-1,0538"
"La Rioja","42,3179","-2,40337"
"Álava","42,8902","-2,6966"
"Albacete","38,834","-1,94309"
"Teruel","40,625","-0,809409"
"Cuenca","39,9115","-2,15126"
"Toledo","39,7401","-3,95134"
"León","42,6006","-5,75872"
"Soria","41,6463","-2,55925"
"Burgos","42,348","-3,60703"
"Ávila","40,5611","-4,87934"
"Palencia","42,3386","-4,59868"
"Ciudad Real","38,8936","-3,74727"
"Córdoba","37,9699","-4,74788"
"Guadalajara","40,8422","-2,53087"
"Jaén","37,9829","-3,43703"
"Madrid","40,4593","-3,67012"
"Segovia","41,2066","-4,04672"
"Valladolid","41,5715","-4,83256"
